(21322068, 29195114), 47261723
(21322068, 29195114), 62674457
(21322068, 29195114), 95631288
(21322068, 29195114), 57044627
(21322068, 29195114), 41068975
(21322068, 29195114), 94200294
(21322068, 29195114), 55142781
(21322068, 29195114), 93575719
(21322068, 29195114), 31733877
(21322068, 23085676), 47261723
(21322068, 23085676), 71908712
(21322068, 23085676), 27841904
(21322068, 23085676), 68077983
(21322068, 23085676), 57044627
(21322068, 23085676), 99866104
(21322068, 23085676), 41068975
(21322068, 23085676), 94200294
(21322068, 23085676), 24277126
(21322068, 23085676), 55142781
(21322068, 23085676), 73057940
(21322068, 23085676), 96190774
(21322068, 23085676), 91346087
(21322068, 23085676), 23881843
(21322068, 23085676), 93575719
(21322068, 47261723), 71908712
(21322068, 47261723), 91387797
(21322068, 47261723), 55142781
(21322068, 47261723), 55882199
(21322068, 47261723), 73057940
(21322068, 47261723), 59905949
(21322068, 47261723), 68651965
(21322068, 47261723), 71968868
(21322068, 47261723), 91346087
(21322068, 47261723), 48615654
(21322068, 47261723), 97069409
(21322068, 47261723), 69130521
(21322068, 71908712), 91387797
(21322068, 71908712), 97539784
(21322068, 71908712), 99866104
(21322068, 71908712), 94200294
(21322068, 71908712), 90459107
(21322068, 71908712), 73057940
(21322068, 71908712), 74935225
(21322068, 71908712), 71968868
(21322068, 71908712), 87764832
(21322068, 71908712), 76327839
(21322068, 71908712), 96190774
(21322068, 71908712), 91346087
(21322068, 71908712), 93575719
(21322068, 71908712), 85068075
(21322068, 71908712), 99507278
(21322068, 71908712), 99100788
(21322068, 71908712), 97677123
(21322068, 71908712), 77296170
(21322068, 71908712), 94972699
(21322068, 71908712), 92969697
(21322068, 71908712), 97069409
(21322068, 71908712), 83099929
(21322068, 71908712), 90135434
(21322068, 71908712), 81901703
(21322068, 71908712), 94658187
(21322068, 71908712), 80985996
(21322068, 71908712), 72579020
(21322068, 71908712), 84387873
(21322068, 71908712), 95014366
(21322068, 71908712), 92483830
(21322068, 27841904), 68077983
(21322068, 27841904), 62674457
(21322068, 27841904), 44107613
(21322068, 27841904), 95631288
(21322068, 27841904), 38472735
(21322068, 27841904), 76549400
(21322068, 27841904), 50876343
(21322068, 27841904), 97539784
(21322068, 27841904), 57044627
(21322068, 27841904), 99866104
(21322068, 27841904), 41068975
(21322068, 27841904), 94200294
(21322068, 27841904), 35127716
(21322068, 27841904), 40481059
(21322068, 27841904), 55142781
(21322068, 27841904), 55882199
(21322068, 27841904), 73057940
(21322068, 27841904), 59905949
(21322068, 27841904), 68651965
(21322068, 27841904), 71968868
(21322068, 27841904), 39486242
(21322068, 27841904), 76327839
